,claim,label
2388,"According to a February 9 Facebook post, ""after overcoming Brazil, Sweden and Spain"" in the number of recorded deaths from Covid-19 per million inhabitants since the beginning of the pandemic, Portugal has just overtaken it as well the USA on that statistical indicator.",2
3373,The Prime Minister (on October 19) and the Minister of Health (on October 26) made statements about the National Health Service's (SNS) responsiveness to the increasing number of Covid-19 infected people who need hospital stay.,2
952,The average age of death from Covid-19 is 82.,2
9,Members of Congress and their staffers are not subject to the federal vaccine mandate imposed by the Biden administration in September 2021.,2
3374,"""(...) she [Cinthia Ribeiro] closed here (...) with only one case [from Covid-19]""",2
6379,In Kazakhstan rasprostranyayushih 0 information about coronavirus in social networks can be fined and even imprisoned.,2
2864,Mitch McConnell blocked paid sick leave from second COVID-19 relief bill,2
3375,â€œ[TSE] Increased voting time so people are less concentrated and avoiding crowdingâ€,2
3376,"Trump rallies have led to 30,000 COVID-19 cases and 700 deaths.",2
2376,NatÃ¡lia Pasternak is against chloroquine. It is against ivermectin. It is against ozone therapy [in the treatment of Covid-19],2
1192,The Federal Communications Commission (FCC) was offering to cover part of the internet bill for eligible households that struggled to afford internet service during the COVID-19 pandemic.,2
2930,Joel Osteen's Lakewood Church in Texas received $4.4 million in coronavirus-economic-relief loans.,2
963," Tweet by Deputy Arthur do Val (Mother Talked), which compares countries that use chloroquine in the treatment of covid-19 and others that have a protocol for the use of medicinal cannabis.",2
1153,The celebrations for the Inter championship were not followed by an increase in Covid-19 infections,2
3328,"""Doctors already have indications about Covid-19 patients who should be saved"", stands out in the title of an article that is being disseminated on social networks, indicating that ""the rapid increase in cases of Covid-19 infection in Portugal it has already led the Order of Doctors to issue an opinion on who should be saved if there are no means to save everyone "".",2
5261,Nurse in isolation for Covid-19 received just over 60 euros of salary at the end of the month?,2
1142,"The COVID-19 stimulus package signed into law by President Joe Biden in March 2021 increases payments for recipients of the Child Tax Credit, and families can receive a portion of that credit in monthly installments.",2
920,The C.36.3 variant was detected in Thailand. Nonetheless â€¦ the variant had actually been found in a person who traveled from Egypt.,2
