value,frequency
the,2242
of,1763
in,1757
and,1386
to,1362
a,1144
is,721
for,712
that,683
from,556
on,504
by,499
are,480
with,460
has,444
COVID-19,392
was,387
The,357
Covid-19,330
at,283
not,263
as,261
people,252
have,251
will,247
shows,243
coronavirus,228
who,221
after,219
vaccine,218
or,215
an,213
were,193
it,190
against,189
be,187
-,170
being,163
during,159
because,156
they,145
A,144
this,142
all,142
no,139
than,139
been,138
which,137
about,136
said,134
covid-19,134
deaths,132
government,128
In,127
had,126
vaccines,124
his,117
you,116
their,116
without,115
Covid,114
died,113
but,112
health,108
more,103
COVID,102
its,98
hospital,97
President,97
can,93
Health,93
says,92
only,92
video,92
he,92
due,90
vaccination,90
virus,87
new,86
over,85
THE,85
US,85
other,84
if,83
cases,83
patients,83
claims,82
would,81
out,81
I,81
do,79
vaccinated,79
we,79
pandemic,78
two,77
children,76
tests,74
police,74
there,73
doctor,73
one,72
so,71
show,70
when,69
before,69
Hospital,68
test,68
death,68
Chinese,68
first,67
million,66
positive,66
infected,66
between,65
up,65
This,64
U.S.,63
did,62
years,62
2020,62
any,61
lockdown,60
corona,60
masks,59
woman,59
India,58
just,57
(...),57
â€”,57
Trump,56
she,56
them,55
study,55
those,55
country,55
Dr.,55
already,54
doctors,53
president,53
"2020,",53
1,53
China,53
your,53
into,52
made,52
taking,51
man,51
It,51
social,51
also,50
WHO,50
Coronavirus,50
found,50
now,49
media,49
per,49
Indian,49
hospitals,49
mask,49
caused,48
what,48
tested,48
since,47
oxygen,47
very,47
covid,47
0,47
announced,47
even,47
post,46
get,46
report,46
these,46
They,45
could,45
while,45
public,44
19,44
IN,44
de,44
countries,44
flu,44
times,43
take,43
where,43
her,43
used,43
like,42
last,42
treatment,42
/,42
days,42
data,42
world,42
...,42
dead,42
should,41
through,41
UK,41
our,41
population,41
using,41
measures,41
10,41
free,40
never,40
took,40
received,40
disease,40
called,40
claim,40
CDC,39
claimed,39
home,39
news,39
July,38
killed,38
March,38
testing,38
rate,38
PCR,38
15,38
family,38
restrictions,37
how,37
reported,37
minister,37
quarantine,37
thousand,37
drug,37
New,37
receiving,36
June,36
among,36
Pfizer,36
mass,36
having,36
under,36
Italy,36
viral,35
hydroxychloroquine,35
until,35
time,35
OF,35
use,35
shared,35
American,34
official,34
some,34
Brazil,34
case,34
person,34
closed,34
many,34
cause,34
military,34
face,34
And,33
most,33
taken,33
vaccine.,33
developed,33
message,33
body,33
Biden,33
patient,33
published,33
Bill,32
AND,32
He,32
spread,32
Bolsonaro,32
go,32
released,32
receive,32
Government,32
admitted,32
cannot,32
does,32
effective,31
money,31
aid,31
coronavirus.,31
state,31
my,31
going,31
care,31
medical,31
Minister,31
number,31
Facebook,30
August,30
may,30
same,30
"2021,",30
residents,30
getting,30
Italian,30
image,30
several,30
To,29
citizens,29
despite,29
"Covid-19,",29
"COVID-19,",29
Video,29
2,29
five,29
got,29
including,29
symptoms,29
states,29
day,28
amid,28
Dr,28
approved,28
5G,28
workers,28
party,28
recorded,28
12,28
early,28
After,28
May,28
months,27
TO,27
Israel,27
euros,27
every,27
photo,27
South,27
People,27
open,27
second,27
almost,27
former,27
ivermectin,27
research,27
mortality,27
make,27
National,27
gave,27
information,27
French,27
causes,26
force,26
Rs,26
protest,26
News,26
bodies,26
according,26
issued,26
scientific,26
us,26
April,26
Medical,26
showing,26
PM,26
must,26
wearing,26
nurse,26
seen,26
company,25
three,25
States,25
"vaccine,",25
less,25
emergency,25
giving,25
then,25
saying,25
anyone,25
mandatory,25
5,25
Corona,25
clinical,25
For,25
say,25
actually,25
$,25
Gates,25
reports,25
school,25
But,24
empty,24
started,24
2021,24
still,24
sent,24
outside,24
Vaccine,24
COVID-19.,24
If,24
article,24
[0],24
billion,24
France,24
infection,24
beds,24
different,24
adverse,24
fewer,24
NOT,23
"""",23
bought,23
authorities,23
prevent,23
declared,23
"coronavirus,",23
COVID19,23
victims,23
crisis,23
claiming,23
following,23
scientist,23
increase,23
doses,23
British,23
around,23
USA,23
recently,23
European,23
University,23
put,23
6,22
Brazilian,22
&,22
curfew,22
7,22
passed,22
back,22
December,22
Center,22
given,22
down,22
Covid-19.,22
September,22
hours,22
zero,22
German,22
An,22
Fauci,22
IS,22
18,22
serious,22
Police,22
each,22
created,22
global,21
Sri,21
away,21
Pakistan,21
website,21
need,21
Australia,21
high,21
"""The",21
TV,21
"China,",21
chloroquine,21
October,21
20,21
students,21
give,21
recent,21
reached,21
close,21
Paulo,21
Are,21
child,21
Doria,21
isolation,21
cure,21
him,20
dangerous,20
She,20
makes,20
Americans,20
treat,20
WhatsApp,20
"covid-19,",20
warns,20
document,20
Ministry,20
percent,20
few,20
relief,20
hospitalized,20
another,20
Governor,20
asked,20
law,20
alleged,20
it.,20
me,20
Vaccination,20
leader,20
Prime,20
fake,20
suspended,20
50,20
We,20
3,20
such,20
On,20
risk,20
kill,20
medicine,19
",",19
February,19
order,19
within,19
Russia,19
off,19
young,19
see,19
discovered,19
selling,19
severe,19
City,19
United,19
Delhi,19
Secretary,19
lower,19
Wuhan,19
CM,19
confirmed,19
No,19
World,19
banned,19
results,19
All,19
Spain,19
am,19
16,19
Sweden,18
Vaccines,18
private,18
wave,18
warned,18
